text,label
Always destined to be measured against Anthony Asquith 's acclaimed 1952 screen adaptation .,positive
"A droll , bitchy frolic which pokes fun at the price of popularity and small-town pretension in the Lone Star State .",negative
than ` Magnifique ' .,neutral
"After seeing the film , I can tell you that there 's no other reason why anyone should bother remembering it .",very negative
MY LITTLE EYE is the best little `` horror '' movie I 've seen in years .,very positive
The best movie in many a moon about the passions that sometimes fuel our best achievements and other times leave us stranded with nothing more than our lesser appetites .,positive
The plot is paper-thin and the characters are n't interesting enough to watch them go about their daily activities for two whole hours .,very negative
"Texan director George Ratliff had unlimited access to families and church meetings , and he delivers fascinating psychological fare .",very positive
"It 's actually pretty funny , but in all the wrong places .",neutral
"In its chicken heart , Crush goes to absurd lengths to duck the very issues it raises .",negative
"( The digital effects ) reminded me of Terry Gilliam 's rudimentary old Monty Python cartoons , in which he would cut out figures from drawings and photographs and paste them together .",neutral
Amazingly dopey .,positive
"If Divine Secrets of the Ya-Ya Sisterhood suffers from a ploddingly melodramatic structure , it comes to life in the performances .",negative
"Try as you might to scrutinize the ethics of Kaufman 's approach , somehow it all comes together to create a very compelling , sensitive , intelligent and almost cohesive piece of film entertainment .",very positive
A cleverly crafted but ultimately hollow mockumentary .,negative
"Despite Hoffman 's best efforts , Wilson remains a silent , lumpish cipher ; his encounters reveal nothing about who he is or who he was before .",neutral
"Oedekerk mugs mercilessly , and the genuinely funny jokes are few and far between .",very negative
"Interesting , but not compelling .",neutral
"Human Nature , in short , is n't nearly as funny as it thinks it is ; neither is it as smart .",negative
"There 's a thin line between likably old-fashioned and fuddy-duddy , and The Count of Monte Cristo ... never quite settles on either side .",neutral
... a mostly boring affair with a confusing sudden finale that 's likely to irk viewers .,neutral
Not just unlikable .,negative
"`` 13 Conversations '' holds its goodwill close , but is relatively slow to come to the point .",neutral
"As immaculate as Stuart Little 2 is , it could be a lot better if it were , well , more adventurous .",positive
"This little film is so slovenly done , so primitive in technique , that it ca n't really be called animation .",very negative
It 's no accident that The Accidental Spy is a solid action pic that returns the martial arts master to top form .,very positive
"Any Chekhov is better than no Chekhov , but it would be a shame if this was your introduction to one of the greatest plays of the last 100 years .",neutral
"Zhuangzhuang creates delicate balance of style , text , and subtext that 's so simple and precise that anything discordant would topple the balance , but against all odds , nothing does .",positive
The actors must indeed be good to recite some of this laughable dialogue with a straight face .,negative
These people are really going to love The Piano Teacher .,very positive
Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,very positive
"Go , girls , right down the reality drain .",negative
Evokes the style and flash of the double-cross that made Mamet 's `` House of Games '' and last fall 's `` Heist '' so much fun .,positive
Yet this one makes up for in heart what it lacks in outright newness .,positive
The moral shrapnel and mental shellshock will linger long after this film has ended .,positive
"It 's a familiar story , but one that is presented with great sympathy and intelligence .",positive
"It should be doing a lot of things , but does n't .",very negative
"It dabbles all around , never gaining much momentum .",negative
It 's better than The Phantom Menace .,positive
But it 's hardly a necessary enterprise .,negative
Works because Reno does n't become smug or sanctimonious towards the audience .,very positive
"Think of it as Gidget , only with muscles and a lot more smarts , but just as endearing and easy to watch .",very positive
"The story is so light and sugary that were it a Macy 's Thanksgiving Day Parade balloon , extra heavy-duty ropes would be needed to keep it from floating away .",neutral
"Elegantly crafted but emotionally cold , a puzzle whose intricate construction one can admire but is difficult to connect with on any deeper level .",negative
"Asks what truth can be discerned from non-firsthand experience , and specifically questions cinema 's capability for recording truth .",positive
I 'm not sure which will take longer to heal : the welt on Johnny Knoxville 's stomach from a riot-control projectile or my own tortured psyche .,very negative
Too bad Kramer could n't make a guest appearance to liven things up .,negative
Do n't even bother to rent this on video .,very negative
Ferrara 's best film in years .,very positive
A movie so bad that it quickly enters the pantheon of wreckage that includes Battlefield Earth and Showgirls .,very negative
This long and relentlessly saccharine film is a clear case of preaching to the converted .,very negative
"Your response to its new sequel , Analyze That , may hinge on what you thought of the first film .",neutral
"It 's a testament to the film 's considerable charm that it succeeds in entertaining , despite playing out like a feature-length sitcom replete with stereotypical familial quandaries .",positive
"With minimal imagination , you could restage the whole thing in your bathtub .",negative
"Other than the slightly flawed ( and fairly unbelievable ) finale , everything else is top shelf .",positive
A terrible movie that some people will nevertheless find moving .,very negative
"Scooby-Doo does n't know if it wants to be a retro-refitting exercise in campy recall for older fans or a silly , Nickelodeon-esque kiddie flick .",negative
The movie 's blatant derivativeness is one reason it 's so lackluster .,negative
"Due to stodgy , soap opera-ish dialogue , the rest of the cast comes across as stick figures reading lines from a TelePrompTer .",very negative
"Complex , sinuously plotted and , somehow , off-puttingly cold .",negative
"A waterlogged version of ` Fatal Attraction ' for the teeny-bopper set ... a sad , soggy potboiler that wastes the talents of its attractive young leads .",negative
Somehow Ms. Griffiths and Mr. Pryce bring off this wild Welsh whimsy .,positive
Nor is it a romantic comedy .,neutral
"While it has definite weaknesses -- like a rather unbelievable love interest and a meandering ending -- this '60s caper film is a riveting , brisk delight .",positive
They were right .,neutral
Well cast and well directed - a powerful drama with enough sardonic wit to keep it from being maudlin .,very positive
"This English-language version ... does full honor to Miyazaki 's teeming and often unsettling landscape , and to the conflicted complexity of his characters .",neutral
While the frequent allusions to gurus and doshas will strike some Westerners as verging on mumbo-jumbo ... broad streaks of common sense emerge with unimpeachable clarity .,positive
Surprisingly powerful and universal .,very positive
An unflinching look at the world 's dispossessed .,neutral
"In Death to Smoochy , we do n't get Williams ' usual tear and a smile , just sneers and bile , and the spectacle is nothing short of refreshing .",positive
"A compassionate , moving portrait of an American ( and an America ) always reaching for something just outside his grasp .",very positive
It is n't scary .,negative
"Like its predecessor , it 's no classic , but it provides a reasonably attractive holiday contraption , one that families looking for a clean , kid-friendly outing should investigate .",neutral
Features Fincher 's characteristically startling visual style and an almost palpable sense of intensity .,positive
"It 's a drawling , slobbering , lovable run-on sentence of a film , a Southern Gothic with the emotional arc of its raw blues soundtrack .",neutral
"It 's a treat watching Shaw , a British stage icon , melting under the heat of Phocion 's attentions .",positive
An unsuccessful attempt at a movie of ideas .,negative
"There is no substitute for on-screen chemistry , and when Friel pulls the strings that make Williams sink into melancholia , the reaction in Williams is as visceral as a gut punch .",very positive
"The animation is competent , and some of the gags are quite funny , but Jonah ... never shakes the oppressive , morally superior good-for-you quality that almost automatically accompanies didactic entertainment .",neutral
Leaves viewers out in the cold and undermines some phenomenal performances .,negative
Both deserve better .,negative
It 's a mindless action flick with a twist -- far better suited to video-viewing than the multiplex .,negative
"It 's refreshing that someone understands the need for the bad boy ; Diesel , with his brawny frame and cool , composed delivery , fits the bill perfectly .",very positive
A high-minded snoozer .,negative
"I admire the closing scenes of the film , which seem to ask whether our civilization offers a cure for Vincent 's complaint .",positive
"Think The Lion King redone for horses , with fewer deliberate laughs , more inadvertent ones and stunningly trite songs by Bryan Adams , the world 's most generic rock star .",very negative
A plodding teen remake that 's so mechanical you can smell the grease on the plot twists .,very negative
"This starts off with a 1950 's Doris Day feel and it gets very ugly , very fast .",negative
"National Lampoon 's Van Wilder may aim to be the next Animal House , but it more closely resembles this year 's version of Tomcats .",neutral
Barry Sonnenfeld owes Frank the Pug big time,neutral
Not so much farcical as sour .,negative
"If I want music , I 'll buy the soundtrack .",negative
"You get the idea , though , that Kapur intended the film to be more than that .",neutral
A puppy dog so desperate for attention it nearly breaks its little neck trying to perform entertaining tricks .,negative
The sound of GUNFIRE and cell phones RINGING .,neutral
"Dogtown is hollow , self-indulgent , and - worst of all - boring .",negative
"It wo n't harm anyone , but neither can I think of a very good reason to rush right out and see it .",neutral
"A minor work yet there 's no denying the potency of Miller 's strange , fleeting brew of hopeful perseverance and hopeless closure .",neutral
"One Hour Photo may seem disappointing in its generalities , but it 's the little nuances that perhaps had to escape from director Mark Romanek 's self-conscious scrutiny to happen , that finally get under your skin .",negative
"Made for teens and reviewed as such , this is recommended only for those under 20 years of age ... and then only as a very mild rental .",neutral
Those who want to be jolted out of their gourd should drop everything and run to Ichi .,positive
"Sweet Home Alabama is one dumb movie , but its stupidity is so relentlessly harmless that it almost wins you over in the end .",neutral
"Overall , it 's a very entertaining , thought-provoking film with a simple message : God is love .",very positive
"Despite its promising cast of characters , Big Trouble remains a loosely tied series of vignettes which only prove that ` zany ' does n't necessarily mean ` funny . '",negative
Even Murphy 's expert comic timing and famed charisma ca n't rescue this effort .,negative
A zinger-filled crowd-pleaser that open-minded Elvis fans ( but by no means all ) will have fun with .,very positive
Malone does have a gift for generating nightmarish images that will be hard to burn out of your brain .,neutral
` Hey Arnold ! ',neutral
"Spielberg 's first real masterpiece , it deserved all the hearts it won -- and wins still , 20 years later .",very positive
"It works well enough , since the thrills pop up frequently , and the dispatching of the cast is as often imaginative as it is gory .",positive
"Spectators will indeed sit open-mouthed before the screen , not screaming but yawning .",negative
Directors Brett Morgen and Nanette Burstein have put together a bold biographical fantasia .,very positive
Never inspires more than an interested detachment .,negative
"No matter how firmly director John Stainton has his tongue in his cheek , the fact remains that a wacky concept does not a movie make .",neutral
"Director Carl Franklin , so crisp and economical in One False Move , bogs down in genre cliches here .",positive
"The cast ... keeps this pretty watchable , and casting Mick Jagger as director of the escort service was inspired .",positive
Abandon spends 90 minutes trying figure out whether or not some cocky pseudo-intellectual kid has intentionally left college or was killed .,negative
"Its metaphors are opaque enough to avoid didacticism , and the film succeeds as an emotionally accessible , almost mystical work .",positive
"Though overall an overwhelmingly positive portrayal , the film does n't ignore the more problematic aspects of Brown 's life .",positive
-- that the ` true story ' by which All the Queen 's Men is allegedly `` inspired '' was a lot funnier and more deftly enacted than what 's been cobbled together onscreen .,negative
"Beautifully crafted , engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic , twisty yarn that will keep them guessing .",very positive
"Art-house to the core , Read My Lips is a genre-curling crime story that revives the free-wheeling noir spirit of old French cinema .",positive
"Costner 's warm-milk persona is just as ill-fitting as Shadyac 's perfunctory directing chops , and some of the more overtly silly dialogue would sink Laurence Olivier .",negative
"Egoyan 's work often elegantly considers various levels of reality and uses shifting points of view , but here he has constructed a film so labyrinthine that it defeats his larger purpose .",neutral
"Take Care is nicely performed by a quintet of actresses , but nonetheless it drags during its 112-minute length .",negative
"Goldbacher draws on an elegant visual sense and a talent for easy , seductive pacing ... but she and writing partner Laurence Coriat do n't manage an equally assured narrative coinage .",positive
Schrader examines Crane 's decline with unblinking candor .,positive
"Tsai Ming-liang 's witty , wistful new film , What Time Is It There ?",positive
Go back to sleep .,negative
It 's not as awful as some of the recent Hollywood trip tripe ... but it 's far from a groundbreaking endeavor .,negative
"A strong script , powerful direction and splendid production design allows us to be transported into the life of Wladyslaw Szpilman , who is not only a pianist , but a good human being .",very positive
A solidly entertaining little film .,positive
"Jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder .",negative
"If you ignore the cliches and concentrate on City by the Sea 's interpersonal drama , it ai n't half-bad .",neutral
"Muccino seems to be exploring the idea of why human beings long for what they do n't have , and how this gets us in trouble .",positive
"an admirable , sometimes exceptional film",very positive
"An easy watch , except for the annoying demeanour of its lead character .",neutral
It turns out to be smarter and more diabolical than you could have guessed at the beginning .,very positive
"Simply put , there should have been a more compelling excuse to pair Susan Sarandon and Goldie Hawn .",negative
The Transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull .,negative
"Often overwrought and at times positively irritating , the film turns into an engrossing thriller almost in spite of itself .",neutral
LaBute 's careful handling makes the material seem genuine rather than pandering .,very positive
The gags are often a stitch .,positive
And it 's a lousy one at that .,very negative
As lively an account as Seinfeld is deadpan .,negative
"The film sounds like the stuff of lurid melodrama , but what makes it interesting as a character study is the fact that the story is told from Paul 's perspective .",positive
I like this movie a lot .,very positive
I wish it would have just gone more over-the-top instead of trying to have it both ways .,negative
"It 's all arty and jazzy and people sit and stare and turn away from one another instead of talking and it 's all about the silences and if you 're into that , have at it .",negative
