text,label
"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",positive
The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,very positive
"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",positive
You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,neutral
Yet the act is still charming here .,positive
"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",very positive
Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,very positive
Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,positive
a screenplay more ingeniously constructed than `` Memento '',very positive
`` Extreme Ops '' exceeds expectations .,positive
"Good fun , good action , good acting , good dialogue , good pace , good cinematography .",very positive
You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,neutral
Dramas like this make it human .,very positive
"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",neutral
"Still , this flick is fun , and host to some truly excellent sequences .",very positive
Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,positive
You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,positive
Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,neutral
Absorbing character study by André Turpin .,very positive
"If you love reading and\/or poetry , then by all means check it out .",positive
You 'll probably love it .,very positive
"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''",positive
near the end takes on a whole other meaning .,neutral
"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .",very positive
The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,neutral
"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",neutral
The actors are fantastic .,very positive
They are what makes it worth the trip to the theatre .,positive
"( Taymor ) utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .",very positive
This is n't a new idea .,negative
It 's been done before but never so vividly or with so much passion .,very positive
( `` Take Care of My Cat '' ) is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .,positive
"It 's not life-affirming -- its vulgar and mean , but I liked it .",neutral
What `` Empire '' lacks in depth it makes up for with its heart .,positive
"Light , silly , photographed with colour and depth , and rather a good time .",very positive
But tongue-in-cheek preposterousness has always been part of For the most part Wilde 's droll whimsy helps `` Being Earnest '' overcome its weaknesses and Parker 's creative interference ...,positive
Much of the movie 's charm lies in the utter cuteness of Stuart and Margolo .,positive
Their computer-animated faces are very expressive .,positive
"The path Ice Age follows most closely , though , is the one established by Warner Bros. giant Chuck Jones , who died a matter of weeks before the movie 's release .",neutral
"... spiced with humor ( ' I speak fluent flatula , ' advises Denlopp after a rather , er , bubbly exchange with an alien deckhand ) and witty updatings ( Silver 's parrot has been replaced with Morph , a cute alien creature who mimics everyone and everything around )",positive
There 's an energy to Y Tu Mamá También .,positive
"Much of it comes from the brave , uninhibited performances by its lead actors .",very positive
"`` 13 Conversations '' holds its goodwill close , but is relatively slow to come to the point .",neutral
`` Auto Focus '' works as an unusual biopic and document of male swingers in the Playboy era,positive
"If Mr. Zhang 's subject matter is , to some degree at least , quintessentially American , his approach to storytelling might be called Iranian .",neutral
... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... The film 's ending has a `` What was it all for ? '',very negative
"feeling to it , but like the 1920 's , the trip there is a great deal of fun .",positive
`` Cremaster 3 '' should come with the warning `` For serious film buffs only ! '',positive
Made me unintentionally famous -- as the queasy-stomached critic who staggered from the theater and blacked out in the lobby .,negative
"But believe it or not , it 's one of the most beautiful , evocative works I 've seen .",very positive
"García Bernal and Talancón are an immensely appealing couple , and even though their story is predictable , you 'll want things to work out .",positive
"... a spoof comedy that carries its share of laughs -- sometimes a chuckle , sometimes a guffaw and , to my great pleasure , the occasional belly laugh .",very positive
"( City ) reminds us how realistically nuanced a Robert De Niro performance can be when he is not more lucratively engaged in the shameless self-caricature of ` Analyze This ' ( 1999 ) and ` Analyze That , ' promised ( or threatened ) for later this year .",positive
The wanton slipperiness of \* Corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art .,very positive
"`` Frailty '' starts out like a typical Bible killer story , but it turns out to be significantly different ( and better ) than most films with this theme .",very positive
"For those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their \*\*\* off for an hour-and-a-half .",very positive
"It cuts to the core of what it actually means to face your fears , to be a girl in a world of boys , to be a boy truly in love with a girl , and to ride the big metaphorical wave that is life -- wherever it takes you .",very positive
"A welcome relief from baseball movies that try too hard to be mythic , this one is a sweet and modest and ultimately winning story .",positive
A crisp psychological drama ( and ) a fascinating little thriller that would have been perfect for an old `` Twilight Zone '' episode .,positive
It has more than a few moments that are insightful enough to be fondly remembered in the endlessly challenging maze of moviegoing .,positive
"Opening with some contrived banter , cliches and some loose ends , the screenplay only comes into its own in the second half .",neutral
"An uncluttered , resonant gem that relays its universal points without lectures or confrontations . '",positive
( The Cockettes ) provides a window into a subculture hell-bent on expressing itself in every way imaginable . ',positive
"A smart , steamy mix of road movie , coming-of-age story and political satire .",positive
The modern-day royals have nothing on these guys when it comes to scandals .,negative
It 's only in fairy tales that princesses that are married for political reason live happily ever after .,negative
"A terrific B movie -- in fact , the best in recent memory .",very positive
`` Birthday Girl '' is an actor 's movie first and foremost .,positive
I walked away from this new version of E.T. just as I hoped I would -- with moist eyes .,very positive
"For devotees of French cinema , Safe Conduct is so rich with period minutiae it 's like dying and going to celluloid heaven .",very positive
What 's really so appealing about the characters is their resemblance to everyday children .,positive
"Shamelessly resorting to pee-related sight gags that might even cause Tom Green a grimace ; still , Myer 's energy and the silliness of it all eventually prevail",neutral
An absurdist spider web .,negative
"If you 're as happy listening to movies as you are watching them , and the slow parade of human frailty fascinates you , then you 're at the right film .",positive
"This version moves beyond the original 's nostalgia for the communal film experiences of yesteryear to a deeper realization of cinema 's inability to stand in for true , lived experience .",neutral
Some movies blend together as they become distant memories .,neutral
Mention `` Solaris '' five years from now and I 'm sure those who saw it will have an opinion to share .,positive
Allen 's funniest and most likeable movie in years .,very positive
It 's a glorious spectacle like those D.W. Griffith made in the early days of silent film .,very positive
This comic gem is as delightful as it is derivative .,very positive
"More timely than its director could ever have dreamed , this quietly lyrical tale probes the ambiguous welcome extended by Iran to the Afghani refugees who streamed across its borders , desperate for work and food .",very positive
"The leaping story line , shaped by director Peter Kosminsky into sharp slivers and cutting impressions , shows all the signs of rich detail condensed into a few evocative images and striking character traits .",positive
"With three excellent principal singers , a youthful and good-looking diva and tenor and richly handsome locations , it 's enough to make you wish Jacquot had left well enough alone and just filmed the opera without all these distortions of perspective .",neutral
"The production has been made with an enormous amount of affection , so we believe these characters love each other .",very positive
Certainly the performances are worthwhile .,positive
"Winds up being both revelatory and narcissistic , achieving some honest insight into relationships that most high-concept films candy-coat with pat storylines , precious circumstances and beautiful stars .",positive
Watching these eccentrics is both inspiring and pure joy .,very positive
Steven Spielberg brings us another masterpiece,very positive
"Finally , the French-produced `` Read My Lips '' is a movie that understands characters must come first .",positive
"Ms. Seigner and Mr. Serrault bring fresh , unforced naturalism to their characters .",very positive
Allen shows he can outgag any of those young whippersnappers making moving pictures today .,positive
"A good film with a solid pedigree both in front of and , more specifically , behind the camera .",positive
"By no means a slam-dunk and sure to ultimately disappoint the action fans who will be moved to the edge of their seats by the dynamic first act , it still comes off as a touching , transcendent love story .",negative
I encourage young and old alike to go see this unique and entertaining twist on the classic whale 's tale -- you wo n't be sorry !,very positive
